tcp-traceroute from 58.65.173.14 to 95.216.247.80
 6  80.81.194.28  192.950 ms ICMP
 7  93.191.9.156  234.151 ms ICMP
 8  62.140.239.223  236.188 ms ICMP
 9  *
10  *
11  37.140.193.247  237.263 ms ICMP
12  5.63.154.38  235.159 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.18.131.225
 1  *
 2  172.16.36.134  1.000 ms ICMP
 3  58.65.165.42  1.021 ms ICMP
 4  203.135.5.69  1.068 ms ICMP
 5  *
 6  185.1.15.41  42.872 ms ICMP
 7  104.18.131.225  41.296 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 172.217.19.163
 1  58.65.173.13  0.325 ms ICMP
 2  172.16.36.130  0.765 ms ICMP
 3  58.65.165.42  0.893 ms ICMP
 4  203.135.5.69  1.035 ms ICMP
 5  *
 6  74.125.118.170  36.645 ms ICMP
 7  172.253.51.205  38.496 ms ICMP
 8  209.85.250.17  39.408 ms ICMP
 9  172.217.19.163  38.482 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 129.174.1.59
 1  58.65.173.13  0.359 ms ICMP
 2  172.16.36.130  0.872 ms ICMP
 3  58.65.165.42  0.882 ms ICMP
 4  203.135.5.69  1.004 ms ICMP
 5  *
 6  65.49.109.213  103.424 ms ICMP
 7  184.105.64.254  169.327 ms ICMP
 8  184.105.213.117  252.632 ms ICMP
 9  184.104.194.22  282.059 ms ICMP
10  184.105.223.177  291.105 ms ICMP
11  184.105.64.134  305.700 ms ICMP
12  206.126.237.48  347.541 ms ICMP
13  *
14  *
15  *
16  129.174.255.42  305.616 ms ICMP
17  129.174.255.43  305.601 ms ICMP
18  *
19  129.174.1.1  305.537 ms ICMP
20  129.174.1.59  305.820 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 45.60.101.212
 1  *
 2  172.16.36.134  1.111 ms ICMP
 3  58.65.165.42  0.827 ms ICMP
 4  119.63.136.181  0.841 ms ICMP
 5  110.93.252.99  17.967 ms ICMP
 6  110.93.252.190  19.612 ms ICMP
 7  *
 8  *
 9  4.69.151.109  225.172 ms ICMP
10  4.16.52.154  262.151 ms ICMP
11  45.60.101.212  259.550 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 151.101.194.137
 1  *
 2  172.16.36.134  1.069 ms ICMP
 3  58.65.165.42  0.819 ms ICMP
 4  203.135.5.69  1.042 ms ICMP
 5  *
 6  27.111.228.34  102.681 ms ICMP
 7  151.101.194.137  104.453 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 52.76.61.123
 1  *
 2  172.16.36.134  1.109 ms ICMP
 3  58.65.165.42  0.923 ms ICMP
 4  119.63.136.181  0.700 ms ICMP
 5  110.93.255.226  20.270 ms ICMP
 6  110.93.252.172  19.729 ms ICMP
 7  27.111.228.87  98.734 ms ICMP
 8  52.93.8.82  175.836 ms ICMP
 9  52.93.11.7  102.290 ms ICMP
10  52.93.11.4  98.063 ms ICMP
11  52.93.8.71  99.703 ms ICMP
12  52.93.10.71  98.906 ms ICMP
13  *
14  *
15  *
16  *
17  *
18  52.76.61.123  98.607 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 45.60.11.176
 1  58.65.173.13  0.478 ms ICMP
 2  172.16.36.130  0.882 ms ICMP
 3  58.65.165.42  0.857 ms ICMP
 4  119.63.136.181  0.771 ms ICMP
 5  110.93.252.99  18.446 ms ICMP
 6  110.93.252.190  19.906 ms ICMP
 7  213.144.176.232  119.862 ms ICMP
 8  *
 9  *
10  4.14.98.218  257.683 ms ICMP
11  45.60.11.176  254.687 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 72.35.67.191
 1  *
 2  172.16.36.134  0.955 ms ICMP
 3  58.65.165.42  0.922 ms ICMP
 4  203.135.5.69  1.107 ms ICMP
 5  *
 6  149.14.126.177  116.480 ms ICMP
 7  154.54.38.174  118.384 ms ICMP
 8  62.115.179.96  123.424 ms ICMP
 9  62.115.114.196  238.102 ms ICMP
10  62.115.122.159  216.658 ms ICMP
11  62.115.119.231  241.613 ms ICMP
12  62.115.181.149  238.593 ms ICMP
